== Rival pressure probe · seed 2039 · 1825 days · entrepreneur · home ARN ==
DAY  DATE       | RIVAL            | ACTION                                               | PLAYER IMPACT                                  | CURRENT VISIBILITY
D170 2030-06-20 | Crown Meridian | FREQUENCY UP HND-KIX 19x→20x | none | NO EVENT
D170 2030-06-20 | Crown Meridian | FREQUENCY UP HND-PEK 17x→18x | none | NO EVENT
D173 2030-06-23 | PacificBlue | FREQUENCY UP IST-BER 19x→20x | none | NO EVENT
D173 2030-06-23 | PacificBlue | FREQUENCY UP IST-MXP 18x→19x | none | NO EVENT
D173 2030-06-23 | PacificBlue | FREQUENCY UP IST-MUC 17x→18x | none | NO EVENT
FIGHT D175 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$80k · you $57/2x vs
D176 2030-06-26 | TerraLink | FREQUENCY UP CGK-BKK 13x→14x | none | NO EVENT
D176 2030-06-26 | TerraLink | FREQUENCY UP CGK-SIN 9x→10x | none | NO EVENT
D176 2030-06-26 | TerraLink | FREQUENCY UP CGK-KUL 3x→4x | none | NO EVENT
D176 2030-06-26 | TerraLink | FLEET GREW 13→14 | none directly | FILTERED
D177 2030-06-27 | Crown Meridian | FREQUENCY UP HND-PEK 18x→19x | none | NO EVENT
D180 2030-06-30 | PacificBlue | FREQUENCY UP IST-MXP 19x→20x | none | NO EVENT
D180 2030-06-30 | PacificBlue | FREQUENCY UP IST-MUC 18x→19x | none | NO EVENT
MONTH 2030-07 | player routes 5 fleet 5 cash $30.4M era regional | rivals alive 5 routes 15 | contested 0
FIGHT D182 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,345 · you $57/2x vs
D184 2030-07-04 | Crown Meridian | FREQUENCY UP HND-PEK 19x→20x | none | NO EVENT
D187 2030-07-07 | PacificBlue | FREQUENCY UP IST-MUC 19x→20x | none | NO EVENT
FIGHT D189 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$14k · you $57/2x vs
D190 2030-07-10 | TerraLink | FREQUENCY UP CGK-BKK 14x→15x | none | NO EVENT
D190 2030-07-10 | TerraLink | FREQUENCY UP CGK-SIN 10x→11x | none | NO EVENT
D190 2030-07-10 | TerraLink | FREQUENCY UP CGK-KUL 4x→5x | none | NO EVENT
D190 2030-07-10 | TerraLink | FLEET GREW 14→15 | none directly | FILTERED
FIGHT D196 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$37k · you $57/2x vs
D200 2030-07-20 | Aurora Atlantic | FLEET GREW 2→3 | none directly | FILTERED
FIGHT D203 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$62k · you $57/2x vs
D204 2030-07-24 | TerraLink | FREQUENCY UP CGK-BKK 15x→16x | none | NO EVENT
D204 2030-07-24 | TerraLink | FREQUENCY UP CGK-SIN 11x→12x | none | NO EVENT
D204 2030-07-24 | TerraLink | FREQUENCY UP CGK-KUL 5x→6x | none | NO EVENT
D204 2030-07-24 | TerraLink | FLEET GREW 15→16 | none directly | FILTERED
FIGHT D210 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$87k · you $57/2x vs
MONTH 2030-08 | player routes 5 fleet 5 cash $35.0M era regional | rivals alive 5 routes 15 | contested 0
FIGHT D217 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$18k · you $57/2x vs
D218 2030-08-07 | TerraLink | FREQUENCY UP CGK-BKK 16x→17x | none | NO EVENT
D218 2030-08-07 | TerraLink | FREQUENCY UP CGK-SIN 12x→13x | none | NO EVENT
D218 2030-08-07 | TerraLink | FREQUENCY UP CGK-KUL 6x→7x | none | NO EVENT
D218 2030-08-07 | TerraLink | FLEET GREW 16→17 | none directly | FILTERED
FIGHT D224 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$43k · you $57/2x vs
FIGHT D231 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$68k · you $57/2x vs
D232 2030-08-21 | TerraLink | FREQUENCY UP CGK-BKK 17x→18x | none | NO EVENT
D232 2030-08-21 | TerraLink | FREQUENCY UP CGK-SIN 13x→14x | none | NO EVENT
D232 2030-08-21 | TerraLink | FREQUENCY UP CGK-KUL 7x→8x | none | NO EVENT
D232 2030-08-21 | TerraLink | FLEET GREW 17→18 | none directly | FILTERED
FIGHT D238 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$93k · you $57/2x vs
MONTH 2030-09 | player routes 5 fleet 5 cash $39.4M era regional | rivals alive 5 routes 15 | contested 0
FIGHT D245 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$6,700 · you $57/2x vs
D246 2030-09-04 | TerraLink | FREQUENCY UP CGK-BKK 18x→19x | none | NO EVENT
D246 2030-09-04 | TerraLink | FREQUENCY UP CGK-SIN 14x→15x | none | NO EVENT
D246 2030-09-04 | TerraLink | FREQUENCY UP CGK-KUL 8x→9x | none | NO EVENT
D246 2030-09-04 | TerraLink | FLEET GREW 18→19 | none directly | FILTERED
FIGHT D252 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$30k · you $57/2x vs
FIGHT D259 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$54k · you $57/2x vs
D260 2030-09-18 | TerraLink | FREQUENCY UP CGK-BKK 19x→20x | none | NO EVENT
D260 2030-09-18 | TerraLink | FREQUENCY UP CGK-SIN 15x→16x | none | NO EVENT
D260 2030-09-18 | TerraLink | FREQUENCY UP CGK-KUL 9x→10x | none | NO EVENT
D260 2030-09-18 | TerraLink | FLEET GREW 19→20 | none directly | FILTERED
FIGHT D266 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$78k · you $57/2x vs
FIGHT D273 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2030-10 | player routes 5 fleet 5 cash $43.9M era regional | rivals alive 5 routes 15 | contested 0
D274 2030-10-02 | TerraLink | FREQUENCY UP CGK-SIN 16x→17x | none | NO EVENT
D274 2030-10-02 | TerraLink | FREQUENCY UP CGK-KUL 10x→11x | none | NO EVENT
D274 2030-10-02 | TerraLink | FLEET GREW 20→21 | none directly | FILTERED
FIGHT D280 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$24k · you $57/2x vs
FIGHT D287 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$47k · you $57/2x vs
D288 2030-10-16 | TerraLink | FREQUENCY UP CGK-SIN 17x→18x | none | NO EVENT
D288 2030-10-16 | TerraLink | FREQUENCY UP CGK-KUL 11x→12x | none | NO EVENT
D288 2030-10-16 | TerraLink | FLEET GREW 21→22 | none directly | FILTERED
FIGHT D294 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
FIGHT D301 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$98k · you $57/2x vs
D302 2030-10-30 | TerraLink | FREQUENCY UP CGK-SIN 18x→19x | none | NO EVENT
D302 2030-10-30 | TerraLink | FREQUENCY UP CGK-KUL 12x→13x | none | NO EVENT
D302 2030-10-30 | TerraLink | FLEET GREW 22→23 | none directly | FILTERED
MONTH 2030-11 | player routes 5 fleet 5 cash $48.6M era regional | rivals alive 5 routes 15 | contested 0
FIGHT D308 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$15k · you $57/2x vs
FIGHT D315 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
D316 2030-11-13 | TerraLink | FREQUENCY UP CGK-SIN 19x→20x | none | NO EVENT
D316 2030-11-13 | TerraLink | FREQUENCY UP CGK-KUL 13x→14x | none | NO EVENT
D316 2030-11-13 | TerraLink | FLEET GREW 23→24 | none directly | FILTERED
FIGHT D322 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$64k · you $57/2x vs
D323 2030-11-20 | TerraLink | OPENED CGK-SGN elsewhere @$185 2x | none | FILTERED
FIGHT D329 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$89k · you $57/2x vs
D330 2030-11-27 | TerraLink | FREQUENCY UP CGK-KUL 14x→15x | none | NO EVENT
D330 2030-11-27 | TerraLink | FREQUENCY UP CGK-SGN 2x→3x | none | NO EVENT
D330 2030-11-27 | TerraLink | FLEET GREW 24→25 | none directly | FILTERED
MONTH 2030-12 | player routes 5 fleet 5 cash $52.7M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D336 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$7,114 · you $57/2x vs
FIGHT D343 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$29k · you $57/2x vs
D344 2030-12-11 | TerraLink | FREQUENCY UP CGK-KUL 15x→16x | none | NO EVENT
D344 2030-12-11 | TerraLink | FREQUENCY UP CGK-SGN 3x→4x | none | NO EVENT
D344 2030-12-11 | TerraLink | FLEET GREW 25→26 | none directly | FILTERED
FIGHT D350 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$43k · you $57/2x vs
D355 2030-12-22 | PacificBlue | FLEET GREW 6→7 | none directly | FILTERED
FIGHT D357 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$69k · you $57/2x vs
D358 2030-12-25 | TerraLink | FREQUENCY UP CGK-KUL 16x→17x | none | NO EVENT
D358 2030-12-25 | TerraLink | FREQUENCY UP CGK-SGN 4x→5x | none | NO EVENT
D358 2030-12-25 | TerraLink | FLEET GREW 26→27 | none directly | FILTERED
D359 2030-12-26 | Crown Meridian | FLEET GREW 5→6 | none directly | FILTERED
FIGHT D364 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$93k · you $57/2x vs
MONTH 2031-01 | player routes 5 fleet 5 cash $57.5M era regional | rivals alive 5 routes 16 | contested 0
D369 2031-01-05 | PacificBlue | FLEET GREW 7→8 | none directly | FILTERED
FIGHT D371 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$20k · you $57/2x vs
D372 2031-01-08 | TerraLink | FREQUENCY UP CGK-KUL 17x→18x | none | NO EVENT
D372 2031-01-08 | TerraLink | FREQUENCY UP CGK-SGN 5x→6x | none | NO EVENT
D372 2031-01-08 | TerraLink | FLEET GREW 27→28 | none directly | FILTERED
FIGHT D378 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$45k · you $57/2x vs
D379 2031-01-15 | TerraLink | FREQUENCY UP CGK-KUL 18x→19x | none | NO EVENT
D379 2031-01-15 | TerraLink | FREQUENCY UP CGK-SGN 6x→7x | none | NO EVENT
FIGHT D385 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$69k · you $57/2x vs
FIGHT D392 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$94k · you $57/2x vs
D393 2031-01-29 | TerraLink | FREQUENCY UP CGK-KUL 19x→20x | none | NO EVENT
D393 2031-01-29 | TerraLink | FREQUENCY UP CGK-SGN 7x→8x | none | NO EVENT
D393 2031-01-29 | TerraLink | FLEET GREW 28→29 | none directly | FILTERED
MONTH 2031-02 | player routes 6 fleet 6 cash $11.1M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D399 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$11k · you $57/2x vs
FIGHT D406 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$30k · you $57/2x vs
D407 2031-02-12 | TerraLink | FREQUENCY UP CGK-SGN 8x→9x | none | NO EVENT
D407 2031-02-12 | TerraLink | FLEET GREW 29→30 | none directly | FILTERED
FIGHT D413 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$56k · you $57/2x vs
FIGHT D420 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$81k · you $57/2x vs
D421 2031-02-26 | TerraLink | FREQUENCY UP CGK-SGN 9x→10x | none | NO EVENT
D421 2031-02-26 | TerraLink | FLEET GREW 30→31 | none directly | FILTERED
MONTH 2031-03 | player routes 6 fleet 6 cash $15.1M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D427 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$11k · you $57/2x vs
D428 2031-03-05 | TerraLink | FREQUENCY UP CGK-SGN 10x→11x | none | NO EVENT
FIGHT D434 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$36k · you $57/2x vs
FIGHT D441 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$61k · you $57/2x vs
D442 2031-03-19 | TerraLink | FREQUENCY UP CGK-SGN 11x→12x | none | NO EVENT
D442 2031-03-19 | TerraLink | FLEET GREW 31→32 | none directly | FILTERED
FIGHT D448 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$86k · you $57/2x vs
D449 2031-03-26 | TerraLink | FREQUENCY UP CGK-SGN 12x→13x | none | NO EVENT
FIGHT D455 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2031-04 | player routes 6 fleet 6 cash $19.0M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D462 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$24k · you $57/2x vs
D463 2031-04-09 | TerraLink | FREQUENCY UP CGK-SGN 13x→14x | none | NO EVENT
D463 2031-04-09 | TerraLink | FLEET GREW 32→33 | none directly | FILTERED
FIGHT D469 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$47k · you $57/2x vs
D470 2031-04-16 | TerraLink | FREQUENCY UP CGK-SGN 14x→15x | none | NO EVENT
FIGHT D476 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$72k · you $57/2x vs
FIGHT D483 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$96k · you $57/2x vs
D484 2031-04-30 | TerraLink | FREQUENCY UP CGK-SGN 15x→16x | none | NO EVENT
D484 2031-04-30 | TerraLink | FLEET GREW 33→34 | none directly | FILTERED
MONTH 2031-05 | player routes 6 fleet 6 cash $23.6M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D490 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$17k · you $57/2x vs
D491 2031-05-07 | TerraLink | FREQUENCY UP CGK-SGN 16x→17x | none | NO EVENT
FIGHT D497 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$41k · you $57/2x vs
FIGHT D504 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$53k · you $57/2x vs
D505 2031-05-21 | TerraLink | FREQUENCY UP CGK-SGN 17x→18x | none | NO EVENT
D505 2031-05-21 | TerraLink | FLEET GREW 34→35 | none directly | FILTERED
FIGHT D511 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
D512 2031-05-28 | TerraLink | FREQUENCY UP CGK-SGN 18x→19x | none | NO EVENT
MONTH 2031-06 | player routes 6 fleet 6 cash $28.0M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D518 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$7,106 · you $57/2x vs
FIGHT D525 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$32k · you $57/2x vs
D526 2031-06-11 | TerraLink | FREQUENCY UP CGK-SGN 19x→20x | none | NO EVENT
D526 2031-06-11 | TerraLink | FLEET GREW 35→36 | none directly | FILTERED
FIGHT D532 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$57k · you $57/2x vs
FIGHT D539 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$80k · you $57/2x vs
FIGHT D546 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2031-07 | player routes 6 fleet 6 cash $32.2M era regional | rivals alive 5 routes 16 | contested 0
D548 2031-07-03 | Crown Meridian | FLEET GREW 6→7 | none directly | FILTERED
FIGHT D553 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$25k · you $57/2x vs
FIGHT D560 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$49k · you $57/2x vs
D564 2031-07-19 | Aurora Atlantic | FLEET GREW 3→4 | none directly | FILTERED
FIGHT D567 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
FIGHT D574 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$97k · you $57/2x vs
MONTH 2031-08 | player routes 6 fleet 6 cash $37.0M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D581 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$14k · you $57/2x vs
FIGHT D588 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$39k · you $57/2x vs
FIGHT D595 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$65k · you $57/2x vs
FIGHT D602 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$89k · you $57/2x vs
MONTH 2031-09 | player routes 6 fleet 6 cash $41.4M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D609 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,476 · you $57/2x vs
FIGHT D616 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$28k · you $57/2x vs
FIGHT D623 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$52k · you $57/2x vs
FIGHT D630 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$77k · you $57/2x vs
FIGHT D637 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$101k · you $57/2x vs
MONTH 2031-10 | player routes 6 fleet 6 cash $45.7M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D644 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$21k · you $57/2x vs
FIGHT D651 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$45k · you $57/2x vs
FIGHT D658 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$71k · you $57/2x vs
FIGHT D665 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$81k · you $57/2x vs
MONTH 2031-11 | player routes 6 fleet 6 cash $50.2M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D672 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$11k · you $57/2x vs
FIGHT D679 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$38k · you $57/2x vs
FIGHT D686 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$64k · you $57/2x vs
D691 2031-11-23 | PacificBlue | FLEET GREW 8→9 | none directly | FILTERED
FIGHT D693 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$90k · you $57/2x vs
MONTH 2031-12 | player routes 6 fleet 6 cash $54.2M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D700 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,615 · you $57/2x vs
FIGHT D707 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$29k · you $57/2x vs
FIGHT D714 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$53k · you $57/2x vs
D716 2031-12-18 | Crown Meridian | FLEET GREW 7→8 | none directly | FILTERED
FIGHT D721 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$78k · you $57/2x vs
FIGHT D728 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$103k · you $57/2x vs
MONTH 2032-01 | player routes 6 fleet 6 cash $59.4M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D735 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$18k · you $57/2x vs
FIGHT D742 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$44k · you $57/2x vs
FIGHT D749 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$68k · you $57/2x vs
FIGHT D756 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$92k · you $57/2x vs
MONTH 2032-02 | player routes 7 fleet 7 cash $22.4M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D763 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$7,301 · you $57/2x vs
FIGHT D770 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$32k · you $57/2x vs
FIGHT D777 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$55k · you $57/2x vs
FIGHT D784 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$80k · you $57/2x vs
MONTH 2032-03 | player routes 7 fleet 7 cash $27.3M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D791 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$5,423 · you $57/2x vs
FIGHT D798 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$29k · you $57/2x vs
FIGHT D805 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$52k · you $57/2x vs
FIGHT D812 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$75k · you $57/2x vs
FIGHT D819 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$91k · you $57/2x vs
MONTH 2032-04 | player routes 7 fleet 7 cash $32.1M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D826 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$15k · you $57/2x vs
FIGHT D833 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$39k · you $57/2x vs
D835 2032-04-16 | Crown Meridian | FLEET GREW 8→9 | none directly | FILTERED
FIGHT D840 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$63k · you $57/2x vs
D845 2032-04-26 | PacificBlue | FLEET GREW 9→10 | none directly | FILTERED
FIGHT D847 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$86k · you $57/2x vs
MONTH 2032-05 | player routes 7 fleet 7 cash $37.7M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D854 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$14k · you $57/2x vs
FIGHT D861 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$38k · you $57/2x vs
FIGHT D868 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$62k · you $57/2x vs
FIGHT D875 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$85k · you $57/2x vs
MONTH 2032-06 | player routes 7 fleet 7 cash $43.3M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D882 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,300 · you $57/2x vs
FIGHT D889 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$22k · you $57/2x vs
FIGHT D896 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$45k · you $57/2x vs
FIGHT D903 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$69k · you $57/2x vs
FIGHT D910 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$92k · you $57/2x vs
MONTH 2032-07 | player routes 7 fleet 7 cash $48.1M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D917 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$21k · you $57/2x vs
FIGHT D924 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$44k · you $57/2x vs
FIGHT D931 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$68k · you $57/2x vs
FIGHT D938 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$91k · you $57/2x vs
D940 2032-07-30 | Crown Meridian | FLEET GREW 9→10 | none directly | FILTERED
MONTH 2032-08 | player routes 7 fleet 7 cash $53.9M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D945 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$10k · you $57/2x vs
FIGHT D952 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$34k · you $57/2x vs
FIGHT D959 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$55k · you $57/2x vs
FIGHT D966 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$79k · you $57/2x vs
FIGHT D973 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2032-09 | player routes 7 fleet 7 cash $58.9M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D980 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$11k · you $57/2x vs
FIGHT D987 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$36k · you $57/2x vs
FIGHT D994 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$60k · you $57/2x vs
FIGHT D1001 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$85k · you $57/2x vs
MONTH 2032-10 | player routes 8 fleet 8 cash $13.9M era regional | rivals alive 5 routes 16 | contested 0
FIGHT D1008 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$18k · you $57/2x vs
FIGHT D1015 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
FIGHT D1022 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$65k · you $57/2x vs
FIGHT D1029 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$89k · you $57/2x vs
MONTH 2032-11 | player routes 8 fleet 8 cash $20.7M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1036 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$7,118 · you $57/2x vs
FIGHT D1043 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$31k · you $57/2x vs
FIGHT D1050 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$52k · you $57/2x vs
FIGHT D1057 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$77k · you $57/2x vs
FIGHT D1064 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2032-12 | player routes 8 fleet 8 cash $26.8M era international | rivals alive 5 routes 16 | contested 0
D1066 2032-12-03 | Crown Meridian | FLEET GREW 10→11 | none directly | FILTERED
D1069 2032-12-06 | PacificBlue | FLEET GREW 10→11 | none directly | FILTERED
FIGHT D1071 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$25k · you $57/2x vs
FIGHT D1078 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$48k · you $57/2x vs
FIGHT D1085 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
D1089 2032-12-26 | Aurora Atlantic | FLEET GREW 4→5 | none directly | FILTERED
FIGHT D1092 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$99k · you $57/2x vs
MONTH 2033-01 | player routes 8 fleet 8 cash $34.3M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1099 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$13k · you $57/2x vs
FIGHT D1106 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$38k · you $57/2x vs
FIGHT D1113 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$63k · you $57/2x vs
FIGHT D1120 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$85k · you $57/2x vs
MONTH 2033-02 | player routes 8 fleet 8 cash $41.1M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1127 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,533 · you $57/2x vs
FIGHT D1134 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$24k · you $57/2x vs
FIGHT D1141 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$34k · you $57/2x vs
D1143 2033-02-18 | Crown Meridian | FLEET GREW 11→12 | none directly | FILTERED
FIGHT D1148 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$57k · you $57/2x vs
MONTH 2033-03 | player routes 8 fleet 8 cash $46.2M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1155 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,649 · you $57/2x vs
FIGHT D1162 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$30k · you $57/2x vs
FIGHT D1169 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$54k · you $57/2x vs
FIGHT D1176 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$76k · you $57/2x vs
FIGHT D1183 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$101k · you $57/2x vs
MONTH 2033-04 | player routes 8 fleet 8 cash $53.5M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1190 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$17k · you $57/2x vs
FIGHT D1197 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
FIGHT D1204 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$66k · you $57/2x vs
FIGHT D1211 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$92k · you $57/2x vs
MONTH 2033-05 | player routes 8 fleet 8 cash $59.9M era international | rivals alive 5 routes 16 | contested 0
